year_month,sales,profit,orders,profit_mergin
2024-01,1539560.24443,461868.0733290001,8531,0.30000000000000004
2024-02,1396907.64899,419072.29469700006,7744,0.30000000000000004
2024-03,1548940.93845,464682.2815350001,8573,0.30000000000000004
2024-04,1444444.58953,433333.37685900007,8310,0.30000000000000004
2024-05,1514951.53922,454485.4617660001,8406,0.30000000000000004
2024-06,1475987.58592,442796.27577600005,8298,0.30000000000000004
2024-07,1533505.15368,460051.54610400007,8376,0.30000000000000004
2024-08,1539544.03678,461863.21103400004,8630,0.30000000000000004
2024-09,1454068.12563,436220.43768900004,8173,0.30000000000000004
2024-10,1521192.43326,456357.72997800005,8470,0.3
2024-11,1477784.78061,443335.43418300006,8116,0.30000000000000004
2024-12,1513187.23062,453956.1691860001,8432,0.30000000000000004
2025-01,1547483.12584,464244.93775200006,8550,0.3
2025-02,1379292.79929,413787.83978700003,7699,0.30000000000000004
2025-03,1482005.05417,444601.51625100005,8343,0.30000000000000004
2025-04,1450150.37694,435045.11308200005,8147,0.3
2025-05,1550949.06836,465284.72050800006,8551,0.30000000000000004
2025-06,1453168.39,435950.51700000005,8229,0.30000000000000004
2025-07,1531188.29385,459356.4881550001,8529,0.30000000000000004
2025-08,1553429.5066,466028.8519800001,8699,0.30000000000000004
2025-09,1455815.69629,436744.70888700004,8095,0.3
2025-10,1555364.98528,466609.4955840001,8500,0.30000000000000004
2025-11,1456659.92193,436997.97657900007,8149,0.30000000000000004
2025-12,1536265.36726,460879.61017800006,8450,0.30000000000000004
